time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
3841,0.013417512,0.9958904,-0.08956803,-0.9966922,0.020500986,0.07863968,0.080152735,0.08821661,0.9928712,0.26430166,-0.015928244,-1.7714581,-0.07872096,-0.08996759,-1.5502301,1504.6332,976.57654,1504.6332,724.2178
3875,0.022788722,0.996787,-0.07678845,-0.9954944,0.029696137,0.09004832,0.09203931,0.0743904,0.9929727,0.2747047,-0.0077887527,-1.8258339,-0.090170465,-0.077178285,-1.5409746,1503.8838,976.7769,1503.8838,724.19434
3910,0.027594911,0.9960957,-0.08385635,-0.99431837,0.03597944,0.10018134,0.1028073,0.08061542,0.99142915,0.2819531,-0.004039397,-1.8582809,-0.10034968,-0.08438045,-1.5346271,1503.8433,976.8724,1503.8433,724.08
3946,0.02914736,0.99644065,-0.07909948,-0.9930504,0.03789312,0.11142221,0.11402293,0.07530211,0.9906202,0.29594514,-0.0036453954,-1.9375727,-0.11165406,-0.079679385,-1.5326566,1504.0363,977.0081,1504.0363,723.93604
3982,0.030539077,0.99662673,-0.07617394,-0.9926561,0.039165333,0.11445399,0.11705128,0.07211922,0.9905037,0.3040186,-0.0032298418,-1.9705567,-0.114705354,-0.07675317,-1.5313617,1503.9197,977.06915,1503.9197,723.9281
4019,0.032330997,0.99630785,-0.07953221,-0.9924697,0.041408725,0.11527778,0.11814549,0.07520628,0.9901442,0.30699638,-0.003038208,-1.995262,-0.11553464,-0.08015179,-1.5290976,1503.8658,977.04663,1503.8658,723.86694
4054,0.035861462,0.9958907,-0.08316072,-0.99253666,0.0451984,0.11326072,0.11655404,0.07847838,0.9900789,0.31427872,-0.0045956387,-2.0315087,-0.11350428,-0.083797336,-1.5252895,1503.9286,976.9915,1503.9286,723.8299
4090,0.034800053,0.99581856,-0.08446607,-0.99327654,0.04380052,0.107158765,0.11041034,0.080169044,0.9906475,0.32206994,-0.008137235,-2.0647135,-0.107364915,-0.08505778,-1.5267279,1503.8882,977.00214,1503.8882,723.8415
4148,0.035276026,0.99537957,-0.08930361,-0.9941662,0.044065416,0.098445944,0.10192629,0.08530987,0.99112725,0.32721275,-0.012471184,-2.1076477,-0.098605655,-0.08986042,-1.5265013,1503.8254,976.8906,1503.8254,723.77936
4188,0.02412216,0.9964192,-0.08103736,-0.9959696,0.03095741,0.08417865,0.08638591,0.07868018,0.99315,0.34258622,-0.02513908,-2.1783893,-0.08427838,-0.08141592,-1.5397236,1503.996,976.69946,1503.996,723.8103
4224,0.021945368,0.99592876,-0.08743234,-0.9964272,0.028922418,0.07934939,0.0815551,0.08537862,0.9930052,0.35067105,-0.030488923,-2.2184355,-0.0794329,-0.08782174,-1.5417783,1503.83,976.60443,1503.83,723.7777
4260,0.020693261,0.9955747,-0.091666676,-0.996534,0.027927896,0.078357436,0.08057074,0.089727506,0.992702,0.354423,-0.032636654,-2.2368517,-0.07843784,-0.09207945,-1.5427786,1503.8792,976.5951,1503.8792,723.7648
4296,0.019995168,0.99523973,-0.09538447,-0.99694127,0.02705646,0.07332064,0.07555238,0.09362668,0.9927366,0.3652775,-0.035881586,-2.2919028,-0.0733865,-0.095788315,-1.5436635,1503.942,976.475,1503.942,723.78406
4331,0.022583649,0.9939395,-0.10758344,-0.9973952,0.029773222,0.065697454,0.0685024,0.10581954,0.992023,0.37214807,-0.03573322,-2.332453,-0.0657448,-0.108026356,-1.5409542,1503.8208,976.45044,1503.8208,723.8254
4366,0.02625517,0.9927814,-0.11702899,-0.99750113,0.0336997,0.062094618,0.06559022,0.11510627,0.9911854,0.37941,-0.033265907,-2.3694766,-0.06213459,-0.11752562,-1.5370251,1503.915,976.46765,1503.915,723.7526
4408,0.019618621,0.9939543,-0.10802778,-0.99758023,0.026668334,0.06420525,0.066698015,0.10650678,0.99207234,0.38758442,-0.029543102,-2.4065433,-0.06424945,-0.10846368,-1.5440696,1504.0273,976.53534,1504.0273,723.83484
4443,0.022150343,0.994342,-0.10389014,-0.99685097,0.029880427,0.07345041,0.076139115,0.10193606,0.9918728,0.39490625,-0.024077866,-2.4450893,-0.073516615,-0.10436087,-1.5408305,1503.9197,976.55273,1503.9197,723.93176
4477,0.02501915,0.9926303,-0.118571125,-0.9952794,0.035858408,0.09018298,0.09377013,0.11575511,0.9888417,0.40512732,-0.01600327,-2.497954,-0.09030567,-0.119339325,-1.5347834,1503.8702,976.78546,1503.8702,723.8315
4511,0.026826221,0.9929603,-0.11537019,-0.9953417,0.037223507,0.08893286,0.09260128,0.112447046,0.9893335,0.41174558,-0.011335175,-2.5318067,-0.0890505,-0.116089724,-1.533416,1503.8838,976.8532,1503.8838,723.92706
4546,0.028281808,0.99309283,-0.11387101,-0.9951015,0.03876632,0.0909387,0.094724946,0.11074134,0.9893247,0.41082105,-0.008072275,-2.5528152,-0.09106451,-0.11459546,-1.5318589,1503.9061,976.9053,1503.9061,723.8478
4581,0.030415302,0.99170756,-0.12486448,-0.9936013,0.043592073,0.10419217,0.10877127,0.1208965,0.98668784,0.41839412,-0.0037912992,-2.6048477,-0.10438161,-0.12587999,-1.5269517,1503.915,976.9976,1503.915,723.8327
4634,0.028689787,0.9916063,-0.12607087,-0.99400014,0.041619048,0.1011499,0.10554782,0.12241252,0.9868509,0.4247057,-0.0034783874,-2.6375675,-0.10132318,-0.12706243,-1.5289505,1503.8658,977.06976,1503.8658,723.9323
4672,0.02458912,0.99129945,-0.12930891,-0.99509114,0.03667295,0.09191523,0.09585766,0.12641408,0.98733515,0.43530256,-0.012826169,-2.7494264,-0.09204514,-0.1302264,-1.5339592,1503.9376,976.9432,1503.9376,723.97314
4707,0.02350197,0.99162316,-0.1270083,-0.9950961,0.03541325,0.09235521,0.09607934,0.12421496,0.98759276,0.43811506,-0.0144974645,-2.7714179,-0.092487,-0.12790188,-1.5352236,1503.9556,976.9588,1503.9556,723.89105
4741,0.01891719,0.99291694,-0.11729522,-0.9957559,0.029278446,0.08725128,0.090067506,0.115146875,0.98925674,0.4448162,-0.020347415,-2.8090472,-0.08736237,-0.11801804,-1.5414015,1503.9824,976.78394,1503.9824,723.9449
4775,0.017951855,0.993471,-0.112662844,-0.99647313,0.027015248,0.07944342,0.081968345,0.110839374,0.9904523,0.4515677,-0.026509013,-2.8452363,-0.07952722,-0.11326207,-1.5436921,1503.8702,976.7019,1503.8702,723.93726
4808,0.017836774,0.9932669,-0.11446634,-0.9965942,0.026880307,0.077955596,0.080507606,0.11268604,0.9903636,0.45656893,-0.027789129,-2.8943686,-0.07803477,-0.11506953,-1.5438308,1503.96,976.5848,1503.96,723.97437
4842,0.017715288,0.9932602,-0.11454295,-0.99687344,0.026369112,0.07448288,0.077001296,0.11286535,0.990622,0.4635494,-0.03192559,-2.9323244,-0.07455192,-0.115116104,-1.5443506,1503.942,976.5649,1503.942,723.95667
4876,0.017428529,0.9929666,-0.117105685,-0.9973571,0.025527865,0.06802274,0.070533775,0.11561066,0.9907872,0.47116417,-0.034599554,-2.9691117,-0.06807531,-0.117648765,-1.5452064,1503.8568,976.465,1503.8568,723.9314
4910,0.015194458,0.9931877,-0.11553074,-0.99794817,0.022250725,0.060034756,0.062196415,0.11438151,0.99148804,0.48178563,-0.031128705,-3.0217805,-0.060070876,-0.11599947,-1.5485035,1503.9868,976.4009,1503.9868,723.92053
4943,0.00849641,0.9938532,-0.11037903,-0.9988086,0.0137389945,0.0468228,0.048051488,0.10984971,0.992786,0.4985455,-0.025011301,-3.097117,-0.046839926,-0.11072635,-1.5570418,1503.8479,976.41003,1503.8479,724.0547
4978,0.0071086744,0.9936448,-0.11233704,-0.9988743,0.012324668,0.04580564,0.046899047,0.11188497,0.9926138,0.5024132,-0.02280413,-3.1150944,-0.045821674,-0.11269346,-1.5584584,1503.8389,976.5211,1503.8389,723.98096
5011,0.005178201,0.9936757,-0.11216809,-0.99893355,0.010286223,0.045008264,0.045877405,0.11181545,0.9926694,0.50648487,-0.016590562,-3.1418104,-0.045023475,-0.11251915,-1.5604994,1503.8613,976.55756,1503.8613,724.0268
5043,0.011663843,0.99448794,-0.10420043,-0.9986466,0.016867217,0.049195442,0.05068184,0.103485614,0.9933388,0.5149941,-0.007390403,-3.199582,-0.04921531,-0.10451694,-1.5539079,1503.9106,976.6411,1503.9106,724.13214
5091,0.015260333,0.99450713,-0.103551164,-0.99782586,0.021787675,0.062199596,0.06411408,0.10237684,0.99267733,0.5191306,-0.0029360102,-3.2352042,-0.062239774,-0.10393911,-1.5489646,1503.942,976.8225,1503.942,724.04504
5125,0.020017594,0.9947058,-0.100795515,-0.99683,0.027620872,0.07461146,0.077000506,0.09898246,0.9921055,0.52557397,0.0047661755,-3.2924285,-0.074680865,-0.101250164,-1.5430948,1503.8927,976.89557,1503.8927,723.98
5159,0.020961046,0.99472225,-0.100440696,-0.9965961,0.028800044,0.077243,0.07972802,0.09847974,0.99194014,0.52732795,0.0062347623,-3.3099794,-0.07732002,-0.10091287,-1.541906,1503.9106,976.9596,1503.9106,723.93036
5192,0.024435211,0.99534386,-0.093239464,-0.9965692,0.031629603,0.07647992,0.079072945,0.0910508,0.9927019,0.53317595,0.009627481,-3.4021773,-0.07655467,-0.09365019,-1.5390685,1503.8838,977.0899,1503.8838,723.84784
5226,0.028194122,0.99477273,-0.098143056,-0.99650586,0.035693005,0.07551038,0.07861869,0.0956712,0.9923033,0.5366627,0.0067302072,-3.4369707,-0.075582325,-0.098583676,-1.5349935,1503.9691,977.0426,1503.9691,723.75555
5259,0.030836772,0.99446917,-0.10039968,-0.9965597,0.03832057,0.07348569,0.07692663,0.09778824,0.99222964,0.5383894,0.004467363,-3.454468,-0.07355199,-0.10084271,-1.5323623,1503.9017,977.03314,1503.9017,723.7106
5293,0.0335868,0.99414974,-0.102656454,-0.9966454,0.040985826,0.07083735,0.07463039,0.0999329,0.9921913,0.53739524,0.0018670307,-3.4786165,-0.07089672,-0.103097536,-1.5296957,1503.8792,977.00476,1503.8792,723.75745
5326,0.035250094,0.99357766,-0.10752129,-0.99700844,0.042367443,0.064644866,0.06878509,0.104920894,0.9920989,0.5400004,-0.004793396,-3.5174875,-0.06468998,-0.10795623,-1.5283273,1503.942,976.8959,1503.942,723.7206
