time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
4164,0.090254,0.99351424,0.06916409,-0.9826924,0.07755979,0.16822582,0.16177037,-0.08315009,0.9833189,0.08634646,-0.10854861,-1.0335362,-0.16902956,0.070221744,-1.4920338,1505.9257,976.48846,1505.9257,722.9974
4198,0.076437585,0.9938918,0.07960134,-0.9846979,0.06270807,0.16259661,0.15661177,-0.090811774,0.9834764,0.08609472,-0.10666961,-1.0704216,-0.16332172,0.080762684,-1.5071996,1505.7642,976.57184,1505.7642,722.93256
4231,0.06599069,0.9943314,0.08336769,-0.98679954,0.052650373,0.1531488,0.1478913,-0.092373595,0.9846802,0.08293711,-0.10202899,-1.1081681,-0.15375388,0.08446331,-1.5174922,1505.598,976.5795,1505.598,723.0827
4264,0.07042332,0.9949311,0.071782485,-0.98487866,0.057932016,0.16327219,0.15828605,-0.082195215,0.9839661,0.082458794,-0.09844114,-1.1458715,-0.16400644,0.07282319,-1.5120425,1505.8314,976.61237,1505.8314,723.15857
4298,0.07064973,0.99527925,0.06654177,-0.98190725,0.05764101,0.18037663,0.17568958,-0.07808142,0.9813441,0.07838008,-0.09411585,-1.1843498,-0.18136935,0.06770313,-1.5121605,1505.9437,976.697,1505.9437,723.2607
4331,0.06673617,0.99555147,0.06650939,-0.9810804,0.05333275,0.18610984,0.18173479,-0.07767133,0.9802753,0.078219816,-0.09061913,-1.2211831,-0.18720132,0.067743845,-1.5164886,1505.1134,976.8016,1505.1134,723.3392
4364,0.06359474,0.9962517,0.05863521,-0.9819491,0.051978055,0.18186311,0.17813368,-0.06914233,0.981574,0.080196574,-0.087980896,-1.2562834,-0.18288083,0.059665002,-1.5179121,1505.4679,976.84546,1505.4679,723.4236
4398,0.06805791,0.9960603,0.056849603,-0.98124194,0.056526214,0.18430673,0.18036713,-0.06832675,0.98122317,0.07916208,-0.082562126,-1.291044,-0.18536645,0.057872787,-1.5132531,1505.8494,976.92444,1505.8494,723.5081
4431,0.06655801,0.99636894,0.053094976,-0.9789173,0.054908354,0.19673833,0.19310856,-0.06507011,0.9790172,0.08010775,-0.08079709,-1.3260447,-0.19803011,0.05417986,-1.5147642,1505.8046,976.93787,1505.8046,723.57764
4464,0.061134063,0.9968237,0.05103923,-0.9790421,0.04993416,0.19744152,0.1942658,-0.062039964,0.978985,0.08225179,-0.08197442,-1.360182,-0.19874737,0.052087687,-1.5198374,1505.607,976.9142,1505.607,723.6878
4498,0.05466296,0.99719435,0.051139813,-0.9797946,0.04369995,0.19517355,0.19239114,-0.06077528,0.9794345,0.08094445,-0.08412286,-1.394402,-0.1964344,0.052166242,-1.5262247,1505.6384,976.936,1505.6384,723.7408
4532,0.049982257,0.9974456,0.051028576,-0.9798468,0.039078787,0.19589023,0.1933957,-0.059791222,0.97929716,0.081563205,-0.08880717,-1.4294658,-0.19716519,0.05206026,-1.5309349,1505.7507,976.82874,1505.7507,723.76874
4565,0.04467359,0.9975249,0.054297753,-0.97949135,0.033047114,0.19875741,0.19647105,-0.062063396,0.97854334,0.083918214,-0.09586011,-1.4657094,-0.20008987,0.055431504,-1.53707,1505.791,976.7833,1505.791,723.76917
4599,0.034710016,0.9976255,0.059485193,-0.97902834,0.02198652,0.2025341,0.20074531,-0.06526765,0.97746676,0.087179676,-0.10451447,-1.5031618,-0.20394495,0.060781527,-1.5483426,1505.7192,976.6747,1505.7192,723.7354
4632,0.03051076,0.9972063,0.06818113,-0.97774184,0.015609729,0.20922992,0.20758107,-0.073047325,0.9754865,0.08879296,-0.11565521,-1.5405668,-0.21078739,0.069781,-1.5548326,1505.9032,976.54956,1505.9032,723.7957
4665,0.028915327,0.99725115,0.06821939,-0.9767882,0.013698643,0.21376863,0.21224648,-0.07281711,0.97449934,0.09197992,-0.123878926,-1.5794684,-0.21543115,0.06989054,-1.5567731,1505.7102,976.5314,1505.7102,723.76874
4699,0.02942767,0.9974661,0.064771324,-0.9774012,0.0151440045,0.21084961,0.20933442,-0.0695124,0.97537017,0.09536234,-0.12895516,-1.6170886,-0.21244404,0.06630956,-1.5553035,1505.6743,976.36414,1505.6743,723.823
4732,0.032275494,0.99675316,0.07376695,-0.9792004,0.016742602,0.20220356,0.20031194,-0.07875885,0.9765615,0.0992862,-0.13262501,-1.6568772,-0.20360744,0.07539425,-1.5536997,1505.7372,976.3697,1505.7372,723.7636
4765,0.027383232,0.99616766,0.08306627,-0.98005676,0.01039283,0.19844547,0.19682166,-0.086843744,0.9765855,0.10485625,-0.13447504,-1.6986629,-0.1997716,0.08485362,-1.5601925,1505.8539,976.2879,1505.8539,723.6677
4799,0.018010167,0.9960907,0.08647945,-0.9809509,0.00087156147,0.19425347,0.1934187,-0.08833065,0.9771318,0.110491574,-0.13152857,-1.7406448,-0.19549637,0.08827336,-1.5699078,1505.845,976.3013,1505.845,723.6524
